Channel              :		CH1
Frequency            :		  ?
Period               :		  ?
PK-PK                :		58.39mV
Average              :		-0.192mV
Vertical pos         :		1.000000mV
Probe attenuation    :		1X
Voltage per ADC value:		0.003125mV
Time interval        :		4.00000uS

index		CH1_Voltage(mV)
1129		-8.900000
1130		-8.837500
1131		-8.550000
1132		-8.550000
1133		-8.724999
1134		-8.724999
1135		-9.075000
1136		-8.900000
1137		-8.787499
1138		-9.662499
1139		-8.787499
1140		-9.075000
1141		-9.137500
1142		-8.787499
1143		-9.250000
1144		-9.200000
1145		-9.662499
1146		-9.200000
1147		-9.375000
1148		-9.724999
1149		-9.200000
1150		-9.787499
1151		-9.787499
1152		-9.724999
1153		-10.200000
1154		-9.787499
1155		-10.012500
1156		-9.425000
1157		-10.075000
1158		-10.075000
1159		-10.312500
1160		-10.599999
1161		-10.662499
1162		-10.724999
1163		-10.137500
1164		-10.487500
1165		-10.550000
1166		-10.962500
1167		-10.787499
1168		-10.900000
1169		-10.662499
1170		-11.375000
1171		-10.787499
1172		-10.787499
1173		-11.550000
1174		-10.787499
1175		-11.075000
1176		-10.724999
1177		-10.662499
1178		-10.787499
1179		-10.550000
1180		-11.187500
1181		-10.662499
1182		-11.250000
1183		-11.137500
1184		-10.724999
1185		-10.787499
1186		-10.312500
1187		-10.962500
1188		-10.487500
1189		-11.137500
1190		-10.962500
1191		-10.662499
1192		-11.487500
1193		-10.250000
1194		-11.250000
1195		-10.599999
1196		-10.599999
1197		-11.187500
1198		-11.012500
1199		-12.012500
1200		-10.787499
1201		-11.662499
1202		-10.787499
1203		-11.012500
1204		-11.487500
1205		-11.012500
1206		-11.425000
1207		-11.487500
1208		-11.250000
1209		-11.900000
1210		-11.375000
1211		-11.962500
1212		-12.137500
1213		-11.137500
1214		-11.487500
1215		-11.250000
1216		-11.250000
1217		-11.962500
1218		-11.550000
1219		-11.599999
1220		-11.775000
1221		-11.075000
1222		-11.662499
1223		-10.900000
1224		-11.662499
1225		-11.662499
1226		-11.250000
1227		-11.550000
1228		-11.075000
1229		-11.775000
1230		-10.900000
1231		-11.187500
1232		-11.250000
1233		-11.375000
1234		-11.487500
1235		-10.487500
1236		-11.375000
1237		-10.900000
1238		-10.550000
1239		-11.775000
1240		-11.375000
1241		-10.900000
1242		-11.487500
1243		-11.075000
1244		-11.137500
1245		-11.187500
1246		-10.837500
1247		-11.375000
1248		-10.962500
1249		-11.487500
1250		-10.962500
1251		-11.137500
1252		-11.724999
1253		-11.187500
1254		-10.962500
1255		-11.187500
1256		-10.662499
1257		-11.662499
1258		-11.375000
1259		-11.312500
1260		-11.662499
1261		-11.312500
1262		-11.550000
1263		-11.775000
1264		-11.012500
1265		-11.550000
1266		-11.312500
1267		-11.187500
1268		-11.837500
1269		-11.375000
1270		-11.075000
1271		-10.837500
1272		-10.787499
1273		-11.012500
1274		-10.837500
1275		-11.312500
1276		-10.900000
1277		-10.787499
1278		-10.900000
1279		-10.137500
1280		-10.662499
1281		-9.900000
1282		-9.787499
1283		-10.487500
1284		-10.487500
1285		-10.312500
1286		-9.787499
1287		-10.200000
1288		-9.425000
1289		-10.312500
1290		-10.312500
1291		-9.724999
1292		-10.662499
1293		-9.900000
1294		-10.312500
1295		-9.425000
1296		-9.375000
1297		-9.962500
1298		-9.487500
1299		-9.962500
1300		-10.250000
1301		-10.962500
1302		-9.599999
1303		-10.487500
1304		-10.250000
1305		-10.312500
1306		-10.200000
1307		-10.787499
1308		-10.075000
1309		-10.425000
1310		-10.599999
1311		-10.599999
1312		-10.724999
1313		-10.375000
1314		-10.550000
1315		-9.962500
1316		-11.012500
1317		-10.487500
1318		-10.599999
1319		-11.250000
1320		-10.250000
1321		-10.662499
1322		-10.425000
1323		-9.837500
1324		-10.312500
1325		-9.900000
1326		-10.375000
1327		-10.599999
1328		-10.200000
1329		-10.200000
1330		-10.012500
1331		-10.312500
1332		-10.012500
1333		-10.075000
1334		-10.250000
1335		-10.137500
1336		-10.200000
1337		-10.200000
1338		-9.724999
1339		-10.312500
1340		-10.599999
1341		-10.075000
1342		-10.724999
1343		-9.375000
1344		-10.724999
1345		-10.375000
1346		-9.724999
1347		-10.599999
1348		-9.787499
1349		-10.375000
1350		-10.487500
1351		-10.425000
1352		-11.075000
1353		-10.312500
1354		-10.662499
1355		-10.662499
1356		-10.312500
1357		-10.487500
1358		-10.550000
1359		-9.900000
1360		-10.599999
1361		-10.487500
1362		-10.200000
1363		-10.837500
1364		-9.837500
1365		-10.375000
1366		-10.075000
1367		-10.312500
1368		-10.487500
1369		-9.962500
1370		-10.375000
1371		-9.837500
1372		-10.012500
1373		-10.599999
1374		-9.787499
1375		-10.200000
1376		-9.787499
1377		-9.837500
1378		-9.900000
1379		-9.787499
1380		-9.837500
1381		-9.837500
1382		-9.662499
1383		-10.200000
1384		-9.375000
1385		-9.425000
1386		-9.724999
1387		-9.012500
1388		-9.312500
1389		-8.900000
1390		-9.012500
1391		-9.724999
1392		-9.137500
1393		-9.312500
1394		-9.425000
1395		-8.612500
1396		-8.962500
1397		-8.375000
1398		-8.425000
1399		-9.487500
1400		-8.612500
1401		-8.787499
1402		-8.837500
1403		-8.724999
1404		-9.137500
1405		-8.837500
1406		-9.012500
1407		-8.837500
1408		-9.312500
1409		-9.662499
1410		-9.312500
1411		-9.312500
1412		-10.200000
1413		-9.487500
1414		-10.375000
1415		-9.724999
1416		-9.599999
1417		-9.962500
1418		-10.012500
1419		-9.662499
1420		-9.662499
1421		-9.012500
1422		-9.787499
1423		-9.012500
1424		-9.075000
1425		-9.200000
1426		-8.724999
1427		-8.724999
1428		-8.312500
1429		-8.012500
1430		-8.012500
1431		-7.137500
1432		-7.725000
1433		-6.962500
1434		-7.075000
1435		-7.375000
1436		-6.487500
1437		-6.375000
1438		-6.375000
1439		-5.487500
1440		-6.662500
1441		-6.375000
1442		-6.900000
1443		-6.250000
1444		-6.725000
1445		-6.250000
1446		-6.612500
1447		-6.837500
1448		-6.375000
1449		-6.487500
1450		-6.550000
1451		-6.662500
1452		-6.787500
1453		-6.250000
1454		-5.962500
1455		-6.375000
1456		-6.200000
1457		-5.662500
1458		-5.900000
1459		-6.075000
1460		-5.200000
1461		-5.200000
1462		-5.137500
1463		-4.137500
1464		-3.850000
1465		-3.375000
1466		-2.850000
1467		-2.962500
1468		-2.550000
1469		-1.375000
1470		-1.087500
1471		0.500000
1472		-0.137500
1473		0.387500
1474		0.325000
1475		0.737500
1476		1.625000
1477		1.625000
1478		1.800000
1479		2.562500
1480		2.387500
1481		2.387500
1482		2.675000
1483		1.800000
1484		1.975000
1485		1.562500
1486		1.212500
1487		1.562500
1488		0.625000
1489		0.687500
1490		0.275000
1491		-1.200000
1492		-0.962500
1493		-1.787500
1494		-3.137500
1495		-2.850000
1496		-4.312500
1497		-4.787500
1498		-5.200000
1499		-6.487500
1500		-6.375000
1501		-7.487500
1502		-8.012500
1503		-8.312500
1504		-9.012500
1505		-9.375000
1506		-9.550000
1507		-10.487500
1508		-10.312500
1509		-10.900000
1510		-10.837500
1511		-10.375000
1512		-11.075000
1513		-10.200000
1514		-10.599999
1515		-10.200000
1516		-9.962500
1517		-9.900000
1518		-8.837500
1519		-8.724999
1520		-8.075000
1521		-7.550000
1522		-7.375000
1523		-6.662500
1524		-6.487500
1525		-5.550000
1526		-5.075000
1527		-4.612500
1528		-3.962500
1529		-4.137500
1530		-3.025000
1531		-3.262500
1532		-3.262500
1533		-2.612500
1534		-2.962500
1535		-2.375000
1536		-2.850000
1537		-1.962500
1538		-2.675000
1539		-3.137500
1540		-2.850000
1541		-3.612500
1542		-4.375000
1543		-4.437500
1544		-5.312500
1545		-5.837500
1546		-5.962500
1547		-6.550000
1548		-6.662500
1549		-8.012500
1550		-8.012500
1551		-8.375000
1552		-8.900000
1553		-8.837500
1554		-9.550000
1555		-9.724999
1556		-9.837500
1557		-10.787499
1558		-9.900000
1559		-10.487500
1560		-9.962500
1561		-9.550000
1562		-9.599999
1563		-9.312500
1564		-9.137500
1565		-8.550000
1566		-8.550000
1567		-7.250000
1568		-6.837500
1569		-6.662500
1570		-5.612500
1571		-5.200000
1572		-4.375000
1573		-4.025000
1574		-4.025000
1575		-3.025000
1576		-2.787500
1577		-2.137500
1578		-2.137500
1579		-1.550000
1580		-0.900000
